四気,分類,食材,五味,脾虚,腎陽虚,血虚,陰虚,気滞,湿熱,血瘀,湿痰,主な作用
熱性,酒,蒸留酒（お湯割り）,辛,0,1,0,0,0,-1,1,0,適量で体を温め気・血・津液を巡らせる・適量で食欲を増す
熱性,酒,蒸留酒（ストレート）,辛,0,1,0,-1,-1,-1,1,0,適量で体を温め気・血・津液を巡らせる・適量で食欲を増す
熱性,酒,日本酒,辛甘,1,1,0,0,-1,-1,1,0,適量で体を温め気・血・津液を巡らせる・適量で食欲を増す
熱性,肉,羊肉,甘,1,1,1,0,0,-1,0,0,体を温める・血を増やす・腎を補い、精をつける
熱性,香辛料,胡椒,辛,1,1,-1,-1,1,-1,1,0,胃腸を温める・気を鎮める・血を巡らせる
熱性,香辛料,唐辛子,辛,1,1,0,-1,0,-1,0,1,体を温める・食欲を出す・余分な水をとる・痛みを止める・殺虫作用
熱性,香辛料,山椒,辛,1,1,0,-1,-1,-1,0,1,体を温める・余分な水をとる・痛みを止める・殺虫作用
熱性,香辛料,シナモン,辛甘,1,1,-1,-1,0,0,1,0,体を温める・消化を高める・血の巡りをよくする・痛みを止める
温性,果物,松の実,甘,1,1,1,1,0,-1,0,0,胃腸を丈夫にする・気を増やす・皮膚や肺を潤す・腎を補う
温性,果物,梅,酸,1,0,0,1,0,0,0,0,津液を守り、下痢、咳、口渇を鎮める・食欲を増やす・解毒殺菌作用
温性,果物,桃,甘酸,1,1,1,1,1,-1,1,0,気を増やす・血を巡らせる・腸やのどを潤す・鎮静作用
温性,果物,りんご,甘酸,1,0,0,1,0,0,0,1,消化を促す・津液を調節して口渇、下痢、便秘を解消する・酒毒を消す
温性,果物,パイナップル,甘,1,0,0,1,0,-1,0,0,口渇を鎮める・消化を促す・肺を潤す
温性,果物,くるみ,甘鹹,-1,1,1,1,-1,-1,0,0,腎を補う・肺を温める・腸を潤す・足腰を丈夫にする
温性,果物,ラズベリー,酸甘,0,1,1,-1,0,-1,0,-1,適量でカラダを温め、気・血・津液を巡らせる・適量で食欲を増す
温性,果物,さくらんぼ,甘,1,0,1,0,0,0,1,1,消化を促す・血を増やす・温をとり痛みを鎮める
温性,果物,あんず,辛苦甘,0,1,0,1,0,-1,0,0,肺や腸を潤す・咳を鎮め痰をとる・体を温める
温性,魚介類,ブリ,甘酸,1,0,1,0,0,-1,0,0,血・気を増やす
温性,魚介類,サバ,甘,1,0,1,0,0,-1,1,0,気、血を補う・胃腸を丈夫にする・脳血栓を予防する
温性,魚介類,アジ,甘,1,0,0,0,0,-1,1,0,食欲増進・脳血栓を予防する
温性,魚介類,マグロ,甘,1,0,0,0,0,-1,1,0,体力増強・血尿や帯下を治す・脳血栓を予防する
温性,魚介類,イワシ,甘鹹,1,1,0,0,0,0,1,0,筋骨を丈夫にする・胃腸の働きをよくする・脳血栓を予防する
温性,魚介類,エビ,甘,0,1,0,0,0,-1,0,0,腎を補い精をつける・足腰を強くする・母乳の出をよくする
温性,穀物類,かぼちゃ,甘,1,1,0,0,0,0,0,1,胃腸を丈夫にする・母乳の出をよくする・余分な水をとる・毒素作用・虫くだし
温性,穀物類,玄米,甘,-1,1,0,0,0,0,0,1,体を温める・血行をよくする
温性,穀物類,うるち米,甘,1,1,0,1,0,-1,0,-1,胃腸を温め丈夫にする・津液を守る・催乳作用
温性,酒,日本酒（冷酒),辛甘,0,-1,0,0,0,0,0,0,適量で体を温め気・血・津液を巡らせる・適量で食欲を増す
温性,酒,赤ワイン,辛鹹甘,1,1,0,0,1,0,1,0,適量で体を温め気・血・津液を巡らせる・適量で食欲を増す・抗菌作用
温性,酒,白ワイン,辛鹹甘,0,-1,0,0,1,0,0,0,適量で体を温め気・血・津液を巡らせる・適量で食欲を増す
温性,酒,リキュール類,辛甘,1,1,0,-1,-1,-1,1,0,適量で体を温め気・血・津液を巡らせる・適量で食欲を増す
温性,酒,蒸留酒(ロック),辛,1,-1,0,0,-1,-1,0,0,適量で体を温め気・血・津液を巡らせる・適量で食欲を増す
温性,肉,牛肉,甘,1,1,1,0,0,0,0,0,気・血を増やす・筋骨を強くする・胃腸を丈夫にする
温性,肉,鶏肉,甘,1,1,1,1,0,0,0,1,お腹を温める・水分代謝を調節する・血を増やす・気を増やす・腎を補い精をつける
温性,肉,鶏レバー,甘,0,1,1,0,0,-1,0,0,血を増やす・目の働きをよくする・腎を補い精をつける
温性,肉,豚レバー,甘辛,1,-1,0,0,-1,-1,0,0,血を増やす・余分な水をとる
温性,野菜,ネギ,辛,1,1,0,-1,0,-1,0,1,消化を促す・汗を出す・冷えによる腹痛をとる・母乳の出をよくする
温性,野菜,にんにく,辛,1,1,0,-1,-1,-1,1,1,殺菌作用・免疫力を高める・体を温める・胃腸を丈夫にする・末端血管を広げる
温性,野菜,ニラ,辛,1,1,0,0,0,-1,1,0,胃腸を温めて働きを調節する・血の巡りをよくする・腎陽を補う
温性,野菜,パセリ,辛,1,1,1,0,-1,0,0,1,発汗発散作用・意を刺激する・消化吸収を促す・肉や魚の毒を消す・血を増やす
温性,野菜,カブ,苦辛甘,1,1,0,0,0,0,0,1,胃腸を温めて痛みをとる・余分な水をとる・せきを鎮める
温性,野菜,ラッキョウ,苦,1,1,0,-1,1,0,0,0,気の巡りをよくする・胃腸を丈夫にする・体を温める
温性,野菜,フキ,甘辛,1,0,1,0,0,0,0,0,せきを鎮める・痰を取る・胃を強くする・魚の毒を消す
温性,野菜,ニンジン,甘辛,1,1,1,1,0,0,0,0,体を温める・体を潤す・血を増やす・意を丈夫にして胃のつかえをとる
温性,野菜,シソ,辛,1,0,0,-1,1,0,0,0,魚介類の毒を中和する・胃腸の働きを整える・気を巡らせる・風邪やせきを治す
温性,野菜,しょうが,辛,1,1,0,-1,0,-1,0,0,胃腸を温め食欲を出す・吐き気を鎮める・殺菌作用・風邪を治す・冷えによる痛みを鎮める・
温性,野菜,たまねぎ,辛,0,1,0,0,1,1,0,0,血圧やコレステロールを下げる・殺菌作用・睡眠をよくする
温性,調味料,酢,酸,1,0,0,0,1,-1,0,-1,尿や汗の出すぎや下痢を抑える・気を鎮める・毒素作用
温性,調味料,味噌,甘鹹,0,0,0,0,0,0,0,0,解毒作用・酒の毒を消す
温性,油,紅花油,辛,0,0,-1,0,1,0,1,0,血を巡らせる・痛みを鎮める
温性,油,ナタネ油,辛,0,0,-1,0,0,1,1,0,血の巡りをよくする・腫れをとる・コレステロールを下げる
平性,加工品,ヨーグルト,酸,1,0,0,0,-1,0,0,0,腸の働きをよくする・精神の緊張を維持する・殺菌作用
平性,果物類,栗,甘鹹,1,1,1,0,0,-1,1,0,適量で胃腸を丈夫にする・腎を補う・気・血を増やす・血を巡らせる
平性,果物類,スモモ（プルーン）,甘酸,0,0,1,0,0,0,1,0,血を増やす・血の巡りをよくする
平性,果物類,銀杏,甘苦,0,1,0,0,0,-1,0,-1,頻尿夜尿を治す・喘息を鎮める
平性,果物類,ブルーベリー,甘酸,1,0,0,0,0,1,0,0,下痢を抑える・感染に抵抗する・解毒作用・動脈硬化を防ぐ
平性,果物類,イチジク,甘,1,0,0,0,0,1,0,0,胃を丈夫にする・腸を整える・便通をよくする・解毒作用
平性,果物類,レモン,酸,1,0,0,1,1,1,0,0,疲労を回復させる・吐き気を消す・口渇を鎮める・酒毒を消す
平性,果物類,ブドウ,甘酸,1,0,1,0,0,0,0,1,気・血を増やす・余分な水分をとる
平性,魚介類,アワビ,甘鹹,0,-1,0,0,1,1,0,1,目の疲れをとる・余分な熱をとる・利尿作用
平性,魚介類,タコ,甘,-1,1,1,0,0,-1,1,0,気・血を増やす・筋骨を丈夫にする・血の巡りをよくする
平性,魚介類,ホタテ,甘,0,0,0,1,0,-1,0,-1,津液を増やす・血圧を下げる
平性,魚介類,カツオ,甘,1,1,1,0,0,-1,0,0,気・血を増やし精をつける・胃腸の働きをよくする・筋骨を丈夫にする
平性,魚介類,アユ,甘,1,0,0,0,0,0,0,1,利尿作用・整腸作用
平性,魚介類,タイ,甘,1,1,1,0,0,-1,0,1,気・血を増やし精をつける・胃腸を温める・むくみをとる
平性,魚介類,コイ,甘,0,0,0,0,0,-1,0,1,むくみをとる・母乳の出をよくする
平性,魚介類,サンマ,甘,1,0,0,0,0,-1,1,0,胃腸を丈夫にして食欲を増す・脳血栓を予防する
平性,魚介類,クラゲ,鹹,-1,-1,-1,1,1,0,1,0,余分な熱をとる・腸を潤す・気・血の巡りをよくする・血圧を下げる
平性,魚介類,ウナギ,甘,0,1,1,0,0,-1,0,0,滋養強壮・女性の不正出血をとめる・関節痛を鎮める
平性,魚介類,イカ,甘鹹,0,1,1,0,0,0,0,0,血を増やす
平性,穀物類,サツマイモ,甘,1,1,0,0,0,0,0,0,胃腸を丈夫にする・便通をよくする
平性,穀物類,ゴマ,甘,0,0,1,1,0,-1,0,0,血を増やす・髪を黒くする・腸を潤す
平性,穀物類,ユリ根,甘,0,0,0,1,1,-1,0,0,精神を鎮める・不眠を軽くする・空ぜきを鎮める
平性,穀物類,小豆,甘酸,0,0,0,-1,0,1,0,1,利尿作用・炎症を鎮める・解毒作用
平性,穀物類,トウモロコシ,甘,1,0,0,0,0,1,0,1,気力を増やす・出血を止める・余分な水をとる・血圧を下げる
平性,穀物類,うるち米,甘,1,0,0,0,0,0,0,0,気力を増やす・元気をつける
平性,穀物類,大豆（枝豆）,甘,1,1,0,0,0,0,0,・,胃腸を丈夫にする・腎を補う・余分な水をとる・催乳作用
平性,穀物類,ヤマイモ,甘,1,1,1,1,0,-1,0,0,気・血の不足を補い、気力・体力を充実させる・尿、精液、帯下などの漏れを治す
平性,穀物類,エンドウ豆,甘,1,0,0,1,0,0,1,1,胃腸を丈夫にする・余分な水をとる・血行をよくする・口渇を鎮める・催乳作用
平性,穀物類,ジャガイモ,甘,1,0,0,0,0,0,0,0,胃腸を整える・便通をよくする・消炎鎮痛剤作用
平性,穀物類,ソラ豆,甘,1,0,0,0,0,0,0,1,胃腸を丈夫にする・余分な水をとる・止血作用
平性,穀物類,サトイモ,甘,1,0,0,0,0,0,0,0,胃腸を整える・便通をよくする・炎症や痛みを鎮める
平性,畜産物,牛乳,甘,1,0,0,1,1,-1,0,-1,胃を丈夫にする・津液を増やす・口渇を鎮める
平性,畜産物,豚肉,甘鹹,0,0,1,1,0,-1,0,-1,血や津液を増やして体を潤す
平性,畜産物,鶏卵（卵白）,甘,0,0,0,1,1,0,0,-1,気分を鎮める・津液を増やす・せきを鎮める
平性,畜産物,牛レバー,甘,0,0,1,0,0,-1,0,0,血を増やす・目の働きをよくする・肝臓の働きをよくする
平性,畜産物,鶏卵（卵黄）,甘,0,0,1,1,1,-1,0,-1,気分を鎮める・津液や血を増やす
平性,野菜類,キャベツ,甘,1,0,0,0,0,0,0,0,胃腸を丈夫にする・止血作用
平性,野菜類,ブロッコリー,甘,1,1,0,0,0,0,0,0,胃腸を強くする・体を丈夫にする（補腎）
平性,野菜類,シイタケ,甘,1,0,0,0,-1,0,0,0,胃腸の力を強める・コレステロールを下げる・抗がん作用
平性,野菜類,シュンギク,辛甘,1,0,0,0,1,0,0,1,胃腸を強くする・気分を鎮める・痰をとる・血圧を下げる
平性,野菜類,ダイコン（煮）,甘辛,1,0,0,0,0,0,0,0,胃の働きを調整する・消化を良くする
平性,野菜類,チンゲンサイ,甘,-1,-1,0,0,1,1,0,0,余分な熱をとる・気の巡りをよくする
平性,野菜類,レンコン,甘,0,0,1,0,0,0,0,0,止血作用・血を増やす・せきや喘息を止める
平性,野菜類,キクラゲ,甘,0,0,1,1,0,0,1,0,止血作用・下血、下痢、便秘を治す・血液の粘度を下げる・精をつける
平性,油　香辛料,黒砂糖,甘,1,0,1,1,0,0,0,0,胃腸の働きを助ける・津液を増やす・血を増やす
平性,油　香辛料,ハチミツ,甘,1,0,1,1,1,-1,0,0,胃腸を助ける・腸や肺を潤す・動悸や不安を鎮める・止痛作用・解毒作用
涼性,加工品,醤油,鹹,0,-1,0,0,0,0,0,0,炎症を鎮める・解毒作用
涼性,加工品,豆腐,甘,0,-1,0,1,1,1,0,0,胃腸の熱をとる・喉を潤す・気を整える・酒毒を消す
涼性,果物類,ミカン,酸甘,0,-1,0,1,1,0,0,1,乾燥を潤す・肺を潤す（せきや痰を鎮める）・胃の熱を冷ます・酒毒をとる・利尿作用
涼性,果物類,ビワ,甘酸,0,-1,0,1,1,0,0,-1,のどの渇きを鎮める・せきや痰を鎮める
涼性,果物類,イチゴ,甘酸,0,-1,0,-1,1,1,0,1,余分な水分をとる・体を冷やす
涼性,果物類,メロン,甘,0,-1,0,0,0,1,1,0,血の巡りをよくする・炎症を鎮める
涼性,穀物類,小麦,甘,1,0,1,1,1,0,0,0,気分を鎮める・胃腸を丈夫にする・睡眠をよくする・津液を増やす
涼性,畜産物,鴨肉,苦甘,1,-1,1,0,0,0,0,1,胃腸を丈夫にする・血を増やす・余分な水をとる
涼性,野菜類,レタス,甘,-1,-1,0,-1,0,1,1,1,余分な熱をとる・利尿作用・催乳作用・血の巡りをよくする便通をよくする
涼性,野菜類,セロリ,甘,0,0,-1,-1,1,0,1,0,血圧を下げる・けいれんを鎮める・利尿作用・精神を鎮める・血の巡りをよくする
涼性,野菜類,セリ,甘,0,-1,-1,-1,1,1,1,0,余分な熱をとる・利尿作用・血圧を下げる・余分な脂肪をとる・興奮を鎮める
涼性,油　香辛料,ゴマ油,甘,0,0,1,0,0,1,0,0,毒を消す・皮膚をきれいにする・便通をよくする
涼性,油　香辛料,オリーブオイル,甘,0,0,0,0,0,1,1,0,血の巡りをよくする・コレステロールを下げる・血圧を下げる
寒性,果物類,スイカ,甘,-1,-1,0,0,1,1,0,1,体を冷やす・口渇を軽くする・利尿作用・むくみをとる・酒毒をとる
寒性,果物類,グレープフルーツ,甘,1,0,0,1,0,1,0,0,乾燥を潤す・胃の働きを助ける・血糖値を下げる・コレステロールを下げる（袋や外側の白いところ）
寒性,果物類,キウイ,酸甘,0,-1,0,1,0,0,0,0,腸の働きをよくする・便通をよくする
寒性,果物類,ナシ,甘,-1,-1,0,1,1,0,0,-1,津液を増やす・肺の熱をとる・肺を潤す・酒毒を消す
寒性,果物類,バナナ,甘,-1,-1,0,1,1,1,0,0,余分な熱をとる・腸を潤し便通をよくする・解毒作用・酒毒をとる・痔を治す
寒性,果物類,柿,甘,-1,-1,0,1,1,0,0,0,胃の熱を冷ます・肺を潤す（せきや痰を鎮める）・止血する・酒毒をとる
寒性,魚介類,サケ,甘,1,1,0,0,0,-1,0,0,胃腸を温める・気を鎮める・血を巡らせる
寒性,魚介類,カニ,甘鹹,0,-1,0,0,1,1,0,0,余分な熱をとる・酒毒をとる・気の巡りをよくする
寒性,魚介類,ハマグリ,鹹,0,-1,0,0,1,1,1,0,余分な熱をとる・口渇を軽くする・痰をとる・血の巡りをよくする
寒性,魚介類,カキ,甘,0,-1,1,0,1,0,0,0,血を増やす・皮膚をよくする・精神を鎮める・酒毒をとる
寒性,魚介類,アサリ,甘鹹,0,-1,0,1,1,0,0,1,血圧を下げる・利尿作用・精神を鎮める・口渇を鎮める・イライラを鎮める
寒性,魚介類,シジミ,甘鹹,0,-1,0,1,1,1,0,1,肝炎を鎮める・口渇を軽くする・寝汗をとめる・酒毒をとる利尿作用
寒性,魚介類,ノリ,甘鹹,-1,-1,1,0,0,0,1,0,かたまりや固いものを柔らかくする・色素沈着を防ぐ
寒性,魚介類,コンブ,鹹,0,-1,1,0,0,0,1,1,かたまりや固いものを柔らかくする・むくみをとる・血を増やす
寒性,魚介類,ヒジキ,苦鹹,0,-1,1,0,0,0,1,1,かたまりや固いものを柔らかくする・炎症を鎮める・血液の凝固を防ぐ・血圧を下げる・むくみをとる
寒性,穀物類,大麦（麦茶）,甘,0,-1,0,1,1,1,0,0,体を冷やす・口渇を鎮める・便通をよくする
寒性,穀物類,ソバ,甘,0,-1,0,0,1,1,0,1,体を冷やす・解毒作用・利尿作用・胃腸の張りや痛みをとる
寒性,酒,蒸留酒（水割り）,甘,-1,-1,0,0,0,0,0,-1,胃を冷やす
寒性,酒,ビール,苦辛,-1,-1,0,0,0,0,0,-1,胃を冷やす・利尿作用
寒性,野菜類,ナス,甘,-1,-1,0,0,0,1,1,0,余分な熱をとる・血の巡りをよくする・痛みをとる・化膿や腫れをとる
寒性,野菜類,アスパラガス,甘,0,-1,0,-1,0,0,0,1,血圧を下げる・利尿作用
寒性,野菜類,トウガン,甘,-1,-1,0,-1,0,1,0,1,余分な熱をとる・利尿作用
寒性,野菜類,ゴボウ,甘,-1,-1,0,0,0,1,0,1,便通をよくする・余分な熱や湿をとる・痛みを鎮める・コレステロールを下げる
寒性,野菜類,ミョウガ,苦甘,-1,0,-1,1,1,1,1,0,余分な熱をとり解毒する・腫れものを治す・血の巡りをよくする
寒性,野菜類,ホウレンソウ,甘,-1,0,1,0,1,0,0,0,便通をよくする・胃腸の熱をとる・口渇を鎮める・血を増やす
寒性,野菜類,ダイコン（生）,甘辛,-1,-1,0,1,1,1,0,1,消化をよくする・せきを鎮める・痰をでやすくする・利尿作用・胃やのどの熱をとる
寒性,野菜類,キュウリ,甘,-1,-1,0,0,0,0,0,1,余分な熱をとる・のどの渇きを鎮める・利尿作用・解毒作用
寒性,野菜類,モヤシ,甘,0,-1,0,0,0,1,0,1,気を補う・余分な熱をとる・余分な湿をとる・酒毒を消す
寒性,野菜類,トマト,甘,-1,-1,0,1,0,1,0,0,余分な熱をとる・のどの渇きを鎮める・血圧を下げる・便通をよくする
寒性,野菜類,タケノコ,甘,-1,-1,0,0,0,1,0,1,便通をよくする・コレステロールを下げる・のどの渇きをとる・利尿作用
寒性,野菜類,ハクサイ,甘,-1,-1,0,0,1,1,0,1,余分な熱をとる・酒毒をとる・消化をよくする・利尿作用
寒性,野菜類,ニガウリ,苦,1,-1,1,0,1,0,0,0,余分な熱をとる・気を巡らせる・疲れをとる・視力を回復させる
寒性,油　香辛料,塩,鹹,0,0,0,0,0,0,0,0,適量で腎を補う
寒性,油　香辛料,白砂糖,甘,1,0,0,1,-1,-1,0,0,胃腸の働きを助ける・津液を増やす・血を増やす