四気,分類,食材,五味,脾虚,腎陽虚,血虚,陰虚,気滞,湿熱,血瘀,湿痰
熱性,酒,蒸留酒（お湯割り）,辛,0,1,0,0,0,-1,1,0
熱性,酒,蒸留酒（ストレート）,辛,0,1,0,-1,-1,-1,1,0
熱性,酒,日本酒,辛甘,1,1,0,0,-1,-1,1,0
熱性,肉,羊肉,甘,1,1,1,0,0,-1,0,0
熱性,香辛料,胡椒,辛,1,1,-1,-1,1,-1,1,0
熱性,香辛料,唐辛子,辛,1,1,0,-1,0,-1,0,1
熱性,香辛料,山椒,辛,1,1,0,-1,-1,-1,0,1
熱性,香辛料,シナモン,辛甘,1,1,-1,-1,0,0,1,0
温性,果物,松の実,甘,1,1,1,1,0,-1,0,0
温性,果物,梅,酸,1,0,0,1,0,0,0,0
温性,果物,桃,甘酸,1,1,1,1,1,-1,1,0
温性,果物,りんご,甘酸,1,0,0,1,0,0,0,1
温性,果物,パイナップル,甘,1,0,0,1,0,-1,0,0
温性,果物,くるみ,甘鹹,-1,1,1,1,-1,-1,0,0
温性,果物,ラズベリー,酸甘,0,1,1,-1,0,-1,0,-1
温性,果物,さくらんぼ,甘,1,0,1,0,0,0,1,1
温性,果物,あんず,辛苦甘,0,1,0,1,0,-1,0,0
温性,魚介類,ブリ,甘酸,1,0,1,0,0,-1,0,0
温性,魚介類,サバ,甘,1,0,1,0,0,-1,1,0
温性,魚介類,アジ,甘,1,0,0,0,0,-1,1,0
温性,魚介類,マグロ,甘,1,0,0,0,0,-1,1,0
温性,魚介類,イワシ,甘鹹,1,1,0,0,0,0,1,0
温性,魚介類,エビ,甘,0,1,0,0,0,-1,0,0
温性,穀物類,かぼちゃ,甘,1,1,0,0,0,0,0,1
温性,穀物類,玄米,甘,-1,1,0,0,0,0,0,1
温性,穀物類,うるち米,甘,1,1,0,1,0,-1,0,-1
温性,酒,日本酒（冷酒),辛甘,0,-1,0,0,0,0,0,0
温性,酒,赤ワイン,辛鹹甘,1,1,0,0,1,0,1,0
温性,酒,白ワイン,辛鹹甘,0,-1,0,0,1,0,0,0
温性,酒,リキュール類,辛甘,1,1,0,-1,-1,-1,1,0
温性,酒,蒸留酒(ロック),辛,1,-1,0,0,-1,-1,0,0
温性,肉,牛肉,甘,1,1,1,0,0,0,0,0
温性,肉,鶏肉,甘,1,1,1,1,0,0,0,1
温性,肉,鶏レバー,甘,0,1,1,0,0,-1,0,0
温性,肉,豚レバー,甘辛,1,-1,0,0,-1,-1,0,0
温性,野菜,ネギ,辛,1,1,0,-1,0,-1,0,1
温性,野菜,にんにく,辛,1,1,0,-1,-1,-1,1,1
温性,野菜,ニラ,辛,1,1,0,0,0,-1,1,0
温性,野菜,パセリ,辛,1,1,1,0,-1,0,0,1
温性,野菜,カブ,苦辛甘,1,1,0,0,0,0,0,1
温性,野菜,ラッキョウ,苦,1,1,0,-1,1,0,0,0
温性,野菜,フキ,甘辛,1,0,1,0,0,0,0,0
温性,野菜,ニンジン,甘辛,1,1,1,1,0,0,0,0
温性,野菜,シソ,辛,1,0,0,-1,1,0,0,0
温性,野菜,しょうが,辛,1,1,0,-1,0,-1,0,0
温性,野菜,たまねぎ,辛,0,1,0,0,1,1,0,0
温性,調味料,酢,酸,1,0,0,0,1,-1,0,-1
温性,調味料,味噌,甘鹹,0,0,0,0,0,0,0,0
温性,油,紅花油,辛,0,0,-1,0,1,0,1,0
温性,油,ナタネ油,辛,0,0,-1,0,0,1,1,0